Reference Number = 2408 Incident Particle: neutron  Target: Z= 94 A= 239 Ef = -6.090
En(MeV)   DWV/w        DWVsym/w       DW>/w         DW</w            w         DWS/wd           wd         DWvso/wso       wso
 -6.000  989.7349      898.3352      122.7828     -31.38312     0.1552651E-04  98.25989     0.7714653E-03  1775.805     -.9830400E-06
 -5.950  636.5126      577.7302      78.96453     -20.18207     0.3754046E-04  63.22964     0.1863877E-02  1142.041     -.2376828E-05
 -5.900  469.0991      425.7759      58.19640     -14.87323     0.6911726E-04  46.62552     0.3428967E-02  841.6623     -.4376081E-05
 -5.850  371.4121      337.1095      46.07808     -11.77549     0.1102567E-03  36.93605     0.5465440E-02  666.3890     -.6980798E-05
 -5.800  307.3988      279.0072      38.13709     -9.745573     0.1609587E-03  30.58594     0.7971898E-02  551.5340     -.1019098E-04
 -5.750  262.2073      237.9888      32.53102     -8.312523     0.2212230E-03  26.10241     0.1094684E-01  470.4499     -.1400661E-04
 -5.700  228.6005      207.4853      28.36205     -7.246833     0.2910492E-03  22.76775     0.1438867E-01  410.1512     -.1842770E-04
 -5.650  202.6298      183.9127      25.14039     -6.423296     0.3704372E-03  20.19039     0.1829567E-01  363.5537     -.2345423E-04
 -5.600  181.9583      165.1500      22.57609     -5.767797     0.4593864E-03  18.13856     0.2266604E-01  326.4640     -.2908620E-04
 -5.550  165.1141      149.8611      20.48658     -5.233669     0.5578966E-03  16.46632     0.2749788E-01  296.2414     -.3532361E-04
 -5.500  151.1243      137.1632      18.75119     -4.790059     0.6659672E-03  15.07719     0.3278918E-01  271.1405     -.4216645E-04
 -5.450  139.3202      126.4490      17.28692     -4.415755     0.7835977E-03  13.90483     0.3853783E-01  249.9609     -.4961471E-04
 -5.400  129.2265      117.2873      16.03484     -4.095694     0.9107877E-03  12.90212     0.4474163E-01  231.8505     -.5766837E-04
 -5.350  120.4967      109.3636      14.95196     -3.818882     0.1047537E-02  12.03468     0.5139829E-01  216.1870     -.6632744E-04
 -5.300  112.8718      102.4427      14.00614     -3.577107     0.1193844E-02  11.27685     0.5850542E-01  202.5060     -.7559190E-04
 -5.250  106.1545      96.34567      13.17291     -3.364114     0.1349708E-02  10.60904     0.6606052E-01  190.4535     -.8546174E-04
 -5.200  100.1919      90.93360      12.43331     -3.175053     0.1515130E-02  10.01609     0.7406101E-01  179.7551     -.9593695E-04
 -5.150  94.86350      86.09722      11.77238     -3.006105     0.1690107E-02  9.486068     0.8250423E-01  170.1947     -.1070175E-03
 -5.100  90.07332      81.74932      11.17822     -2.854222     0.1874640E-02  9.009431     0.9138742E-01  161.5998     -.1187034E-03
 -5.050  85.74369      77.81944      10.64119     -2.716945     0.2068727E-02  8.578485     0.1007077      153.8314     -.1309947E-03
 -5.000  81.81124      74.25007      10.15344     -2.592262     0.2272368E-02  8.186945     0.1104622      146.7755     -.1438912E-03
 -4.950  78.22373      70.99377      9.708472     -2.478518     0.2485561E-02  7.829627     0.1206478      140.3386     -.1573931E-03
 -4.900  74.93766      68.01109      9.300901     -2.374333     0.2708306E-02  7.502220     0.1312615      134.4425     -.1715002E-03
 -4.850  71.91658      65.26893      8.926203     -2.278551     0.2940601E-02  7.201107     0.1423000      129.0219     -.1862126E-03
 -4.800  69.12968      62.73932      8.580556     -2.190195     0.3182446E-02  6.923233     0.1537600      124.0214     -.2015303E-03
 -4.750  66.55075      60.39848      8.260708     -2.108434     0.3433840E-02  6.665996     0.1656383      119.3941     -.2174531E-03
 -4.700  64.15735      58.22603      7.963875     -2.032556     0.3694781E-02  6.427171     0.1779314      115.0996     -.2339812E-03
 -4.650  61.93014      56.20443      7.687659     -1.961949     0.3965268E-02  6.204841     0.1906357      111.1034     -.2511145E-03
 -4.600  59.85241      54.31850      7.429987     -1.896081     0.4245299E-02  5.997347     0.2037478      107.3753     -.2688530E-03
 -4.550  57.90959      52.55503      7.189050     -1.834492     0.4534875E-02  5.803244     0.2172638      103.8894     -.2871966E-03
 -4.500  56.08895      50.90246      6.963271     -1.776777     0.4833992E-02  5.621270     0.2311802      100.6226     -.3061454E-03
 -4.450  54.37933      49.35065      6.751264     -1.722583     0.5142651E-02  5.450316     0.2454930      97.55503     -.3256992E-03
 -4.400  52.77087      47.89066      6.551805     -1.671596     0.5460849E-02  5.289405     0.2601985      94.66895     -.3458582E-03
 -4.350  51.25484      46.51457      6.363814     -1.623541     0.5788585E-02  5.137672     0.2752927      91.94874     -.3666222E-03
 -4.300  49.82351      45.21535      6.186329     -1.578172     0.6125857E-02  4.994347     0.2907716      89.38048     -.3879913E-03
 -4.250  48.46997      43.98674      6.018495     -1.535269     0.6472665E-02  4.858748     0.3066310      86.95180     -.4099653E-03
 -4.200  47.18804      42.82313      5.859544     -1.494637     0.6829006E-02  4.730260     0.3228670      84.65161     -.4325444E-03
 -4.150  45.97219      41.71950      5.708791     -1.456101     0.7194878E-02  4.608334     0.3394753      82.46998     -.4557284E-03
 -4.100  44.81744      40.67132      5.565617     -1.419502     0.7570281E-02  4.492477     0.3564517      80.39797     -.4795174E-03
 -4.050  43.71929      39.67453      5.429466     -1.384699     0.7955212E-02  4.382242     0.3737919      78.42753     -.5039112E-03
 -4.000  42.67369      38.72542      5.299832     -1.351561     0.8349670E-02  4.277227     0.3914915      76.55136     -.5289100E-03
 -3.950  41.67695      37.82066      5.176260     -1.319973     0.8753652E-02  4.177065     0.4095462      74.76286     -.5545136E-03
 -3.900  40.72572      36.95722      5.058334     -1.289828     0.9167158E-02  4.081425     0.4279514      73.05602     -.5807220E-03
 -3.850  39.81696      36.13232      4.945676     -1.261030     0.9590184E-02  3.990005     0.4467028      71.42538     -.6075352E-03
 -3.800  38.94789      35.34343      4.837941     -1.233490     0.1002273E-01  3.902528     0.4657957      69.86594     -.6349531E-03
 -3.750  38.11595      34.58827      4.734814     -1.207128     0.1046479E-01  3.818742     0.4852256      68.37315     -.6629758E-03
 -3.700  37.31883      33.86469      4.636005     -1.181870     0.1091637E-01  3.738416     0.5049878      66.94281     -.6916032E-03
 -3.650  36.55437      33.17077      4.541248     -1.157648     0.1137746E-01  3.661337     0.5250777      65.57108     -.7208352E-03
 -3.600  35.82062      32.50472      4.450301     -1.134400     0.1184806E-01  3.587310     0.5454905      64.25445     -.7506718E-03
 -3.550  35.11576      31.86489      4.362937     -1.112068     0.1232817E-01  3.516154     0.5662216      62.98965     -.7811131E-03
 -3.500  34.43811      31.24976      4.278950     -1.090598     0.1281779E-01  3.447705     0.5872662      61.77368     -.8121589E-03
 -3.450  33.78613      30.65793      4.198147     -1.069943     0.1331691E-01  3.381808     0.6086195      60.60377     -.8438092E-03
 -3.400  33.15840      30.08810      4.120351     -1.050056     0.1382554E-01  3.318321     0.6302765      59.47734     -.8760640E-03
 -3.350  32.55357      29.53907      4.045397     -1.030896     0.1434366E-01  3.257112     0.6522326      58.39203     -.9089232E-03
 -3.300  31.97042      29.00971      3.973132     -1.012424     0.1487128E-01  3.198060     0.6744828      57.34561     -.9423869E-03
 -3.250  31.40781      28.49900      3.903415     -.9946023     0.1540840E-01  3.141051     0.6970221      56.33604     -.9764549E-03
 -3.200  30.86467      28.00595      3.836114     -.9773982     0.1595501E-01  3.085978     0.7198457      55.36141     -.1011127E-02
 -3.150  30.34000      27.52968      3.771104     -.9607801     0.1651111E-01  3.032743     0.7429486      54.41992     -.1046404E-02
 -3.100  29.83288      27.06933      3.708271     -.9447184     0.1707669E-01  2.981255     0.7663259      53.50992     -.1082285E-02
 -3.050  29.34245      26.62412      3.647508     -.9291858     0.1765177E-01  2.931427     0.7899725      52.62985     -.1118770E-02
 -3.000  28.86788      26.19333      3.588714     -.9141565     0.1823632E-01  2.883178     0.8138835      51.77826     -.1155859E-02
 -2.950  28.40844      25.77625      3.531795     -.8996066     0.1883035E-01  2.836434     0.8380539      50.95379     -.1193552E-02
 -2.900  27.96339      25.37225      3.476663     -.8855134     0.1943386E-01  2.791123     0.8624786      50.15517     -.1231850E-02
 -2.850  27.53209      24.98071      3.423235     -.8718558     0.2004685E-01  2.747181     0.8871526      49.38119     -.1270751E-02
 -2.800  27.11390      24.60108      3.371433     -.8586141     0.2066930E-01  2.704543     0.9120709      48.63074     -.1310257E-02
 -2.750  26.70822      24.23281      3.321185     -.8457694     0.2130123E-01  2.663153     0.9372285      47.90276     -.1350366E-02
 -2.700  26.31452      23.87540      3.272422     -.8333042     0.2194262E-01  2.622954     0.9626203      47.19625     -.1391079E-02
 -2.650  25.93226      23.52839      3.225079     -.8212020     0.2259347E-01  2.583896     0.9882412      46.51028     -.1432396E-02
 -2.600  25.56096      23.19131      3.179094     -.8094472     0.2325379E-01  2.545929      1.014086      45.84396     -.1474317E-02
 -2.550  25.20015      22.86376      3.134411     -.7980250     0.2392356E-01  2.509006      1.040151      45.19646     -.1516842E-02
 -2.500  24.84939      22.54533      3.090975     -.7869216     0.2460278E-01  2.473086      1.066429      44.56700     -.1559970E-02
 -2.450  24.50826      22.23565      3.048735     -.7761238     0.2529145E-01  2.438125      1.092916      43.95484     -.1603702E-02
 -2.400  24.17639      21.93436      3.007641     -.7656192     0.2598958E-01  2.404087      1.119607      43.35926     -.1648037E-02
 -2.350  23.85339      21.64113      2.967649     -.7553960     0.2669714E-01  2.370932      1.146498      42.77960     -.1692976E-02
 -2.300  23.53891      21.35564      2.928714     -.7454432     0.2741415E-01  2.338628      1.173582      42.21524     -.1738519E-02
 -2.250  23.23262      21.07758      2.890795     -.7357501     0.2814060E-01  2.307140      1.200856      41.66558     -.1784665E-02
 -2.200  22.93421      20.80666      2.853853     -.7263067     0.2887648E-01  2.276437      1.228313      41.13005     -.1831414E-02
 -2.150  22.64337      20.54263      2.817850     -.7171035     0.2962179E-01  2.246490      1.255950      40.60811     -.1878767E-02
 -2.100  22.35983      20.28521      2.782753     -.7081316     0.3037653E-01  2.217270      1.283760      40.09925     -.1926723E-02
 -2.050  22.08330      20.03416      2.748526     -.6993822     0.3114069E-01  2.188750      1.311740      39.60298     -.1975282E-02
 -2.000  21.81354      19.78925      2.715137     -.6908473     0.3191427E-01  2.160905      1.339885      39.11885     -.2024444E-02
 -1.950  21.55029      19.55025      2.682558     -.6825190     0.3269727E-01  2.133710      1.368188      38.64641     -.2074210E-02
 -1.900  21.29333      19.31696      2.650758     -.6743900     0.3348969E-01  2.107142      1.396647      38.18525     -.2124578E-02
 -1.850  21.04243      19.08917      2.619710     -.6664533     0.3429152E-01  2.081179      1.425255      37.73496     -.2175550E-02
 -1.800  20.79738      18.86669      2.589387     -.6587020     0.3510275E-01  2.055800      1.454008      37.29517     -.2227124E-02
 -1.750  20.55798      18.64934      2.559766     -.6511299     0.3592338E-01  2.030985      1.482901      36.86551     -.2279301E-02
 -1.700  20.32403      18.43694      2.530821     -.6437307     0.3675342E-01  2.006715      1.511930      36.44564     -.2332081E-02
 -1.650  20.09535      18.22932      2.502529     -.6364986     0.3759285E-01  1.982971      1.541089      36.03522     -.2385464E-02
 -1.600  19.87177      18.02632      2.474870     -.6294281     0.3844167E-01  1.959735      1.570374      35.63395     -.2439450E-02
 -1.550  19.65311      17.82780      2.447822     -.6225138     0.3929988E-01  1.936992      1.599781      35.24151     -.2494038E-02
 -1.500  19.43922      17.63360      2.421365     -.6157506     0.4016747E-01  1.914725      1.629304      34.85763     -.2549228E-02
 -1.450  19.22994      17.44359      2.395480     -.6091336     0.4104445E-01  1.892918      1.658939      34.48202     -.2605021E-02
 -1.400  19.02512      17.25763      2.370149     -.6026582     0.4193080E-01  1.871558      1.688682      34.11441     -.2661417E-02
 -1.350  18.82462      17.07559      2.345353     -.5963198     0.4282652E-01  1.850629      1.718527      33.75456     -.2718415E-02
 -1.300  18.62831      16.89735      2.321078     -.5901142     0.4373161E-01  1.830119      1.748471      33.40223     -.2776015E-02
 -1.250  18.43606      16.72279      2.297305     -.5840372     0.4464606E-01  1.810015      1.778509      33.05717     -.2834217E-02
 -1.200  18.24774      16.55181      2.274021     -.5780850     0.4556987E-01  1.790304      1.808637      32.71917     -.2893022E-02
 -1.150  18.06324      16.38428      2.251209     -.5722536     0.4650304E-01  1.770974      1.838850      32.38801     -.2952429E-02
 -1.100  17.88243      16.22012      2.228857     -.5665396     0.4744556E-01  1.752014      1.869143      32.06349     -.3012437E-02
 -1.050  17.70521      16.05921      2.206949     -.5609394     0.4839743E-01  1.733414      1.899513      31.74540     -.3073048E-02
 -1.000  17.53148      15.90146      2.185474     -.5554496     0.4935863E-01  1.715161      1.929956      31.43357     -.3134260E-02
