
Reference Number = 2408 Incident Particle: neutron 
Target: Z= 94 A= 239 Number of energies= 181
Type potential: rotational   dispersive+SO(Anal.Integr.)  relativ.Schoedr.
First Author: R.Capote      
Z-Range=90- 97  A-Range=228-249  E-Range=   0.001- 200.000 MeV         Ef = -6.090

En(MeV)     V    RV    AV    DWV      W    RW    AW     VD   RVD   AVD     WD   RWD   AWD    VSO   RVSO  AVSO   WSO   RWSO  AWSO   VHFpn WSpn DVSpn    WVpn    DVVpn   V(Lane)  W(Lane)    E
 -6.000 46.458 1.250 0.638  0.015  0.000 1.253 0.680  0.076 1.181 0.604  0.001 1.181 0.604  6.026 1.121 0.590 -0.000 1.121 0.590 -0.597-0.000-0.008   0.000    0.000   -9.991   -0.001   -6.000
 -5.950 46.443 1.250 0.638  0.024  0.000 1.253 0.680  0.118 1.181 0.604  0.002 1.181 0.604  6.023 1.121 0.590 -0.000 1.121 0.590 -0.597-0.000-0.013   0.000    0.000   -9.985   -0.003   -5.950
 -5.900 46.427 1.250 0.638  0.032  0.000 1.253 0.680  0.160 1.181 0.604  0.003 1.181 0.604  6.021 1.121 0.590 -0.000 1.121 0.590 -0.596-0.000-0.018   0.000    0.000   -9.980   -0.006   -5.900
 -5.850 46.411 1.250 0.638  0.041  0.000 1.253 0.680  0.202 1.181 0.604  0.005 1.181 0.604  6.018 1.121 0.590 -0.000 1.121 0.590 -0.596-0.001-0.022   0.000    0.000   -9.975   -0.010   -5.850
 -5.800 46.396 1.250 0.638  0.049  0.000 1.253 0.680  0.244 1.181 0.604  0.008 1.181 0.604  6.016 1.121 0.590 -0.000 1.121 0.590 -0.596-0.001-0.027   0.000    0.000   -9.970   -0.015   -5.800
 -5.750 46.380 1.250 0.638  0.058  0.000 1.253 0.680  0.286 1.181 0.604  0.011 1.181 0.604  6.013 1.121 0.590 -0.000 1.121 0.590 -0.596-0.001-0.032   0.000    0.000   -9.965   -0.020   -5.750
 -5.700 46.365 1.250 0.638  0.067  0.000 1.253 0.680  0.328 1.181 0.604  0.014 1.181 0.604  6.011 1.121 0.590 -0.000 1.121 0.590 -0.595-0.002-0.036   0.000    0.000   -9.960   -0.027   -5.700
 -5.650 46.349 1.250 0.638  0.075  0.000 1.253 0.680  0.369 1.181 0.604  0.018 1.181 0.604  6.008 1.121 0.590 -0.000 1.121 0.590 -0.595-0.002-0.041   0.000    0.000   -9.954   -0.034   -5.650
 -5.600 46.334 1.250 0.638  0.084  0.000 1.253 0.680  0.411 1.181 0.604  0.023 1.181 0.604  6.006 1.121 0.590 -0.000 1.121 0.590 -0.595-0.003-0.045   0.000    0.000   -9.949   -0.042   -5.600
 -5.550 46.319 1.250 0.638  0.092  0.001 1.253 0.680  0.453 1.181 0.604  0.027 1.181 0.604  6.003 1.121 0.590 -0.000 1.121 0.590 -0.594-0.003-0.050   0.000    0.000   -9.944   -0.051   -5.550
