Reference Number = 2408 Incident Particle: neutron  Target: Z= 94 A= 239 Ef = -6.090
En(MeV)   RealPot   RVolPot   RSurPot    VSOPot   DVolPot    DVolNonL  DVolSym    ImPot    ImVolPot   ImSurPot   WSOPot
 -6.000   411.585   411.054     0.531    -4.506     0.138     0.013     0.125     0.006     0.000     0.005     0.000
 -5.950   411.743   410.918     0.825    -4.504     0.215     0.020     0.195     0.013     0.000     0.013     0.000
 -5.900   411.900   410.781     1.119    -4.502     0.291     0.027     0.264     0.025     0.001     0.024     0.000
 -5.850   412.058   410.645     1.413    -4.500     0.368     0.034     0.334     0.039     0.001     0.038     0.000
 -5.800   412.216   410.509     1.706    -4.498     0.444     0.041     0.403     0.057     0.001     0.056     0.000
 -5.750   412.373   410.373     2.000    -4.496     0.521     0.048     0.473     0.079     0.002     0.077     0.000
 -5.700   412.530   410.237     2.293    -4.495     0.597     0.055     0.542     0.103     0.003     0.101     0.000
 -5.650   412.687   410.101     2.585    -4.493     0.674     0.062     0.612     0.131     0.003     0.128     0.000
 -5.600   412.843   409.966     2.877    -4.491     0.751     0.069     0.681     0.163     0.004     0.159     0.000
 -5.550   412.999   409.830     3.169    -4.489     0.827     0.076     0.751     0.197     0.005     0.192     0.000
 -5.500   413.155   409.695     3.460    -4.487     0.904     0.083     0.820     0.235     0.006     0.229     0.000
 -5.450   413.310   409.559     3.750    -4.485     0.980     0.091     0.890     0.277     0.007     0.270     0.000
 -5.400   413.464   409.424     4.040    -4.484     1.057     0.098     0.959     0.321     0.008     0.313     0.000
 -5.350   413.618   409.289     4.329    -4.482     1.133     0.105     1.029     0.369     0.009     0.360     0.000
 -5.300   413.772   409.154     4.617    -4.480     1.210     0.112     1.098     0.420     0.011     0.409     0.000
 -5.250   413.924   409.019     4.905    -4.478     1.287     0.119     1.168     0.474     0.012     0.462     0.000
 -5.200   414.076   408.884     5.192    -4.476     1.363     0.126     1.237     0.532     0.014     0.518     0.000
 -5.150   414.227   408.750     5.477    -4.474     1.440     0.133     1.307     0.593     0.015     0.577     0.000
 -5.100   414.377   408.615     5.762    -4.472     1.516     0.140     1.376     0.656     0.017     0.640     0.000
 -5.050   414.527   408.481     6.046    -4.471     1.593     0.147     1.446     0.723     0.019     0.705     0.000
 -5.000   414.676   408.346     6.329    -4.469     1.669     0.154     1.515     0.793     0.020     0.773     0.000
 -4.950   414.823   408.212     6.611    -4.467     1.746     0.161     1.584     0.867     0.022     0.844     0.000
 -4.900   414.970   408.078     6.892    -4.465     1.822     0.168     1.654     0.943     0.024     0.919     0.000
